Subject,Course,Room,Class Day(s),Class Time,Professor,Duration
MATH, 12550-1,West Bldg W215,M,2:00 PM,Samra Michael,200 mins
MATH, 12550-2,North Bldg C100,M,3:00 PM,Thompson Robert D,200 mins
MATH, 12550-3,North Bldg 1311,M,2:00 PM,Shneerson Lev,200 mins
MATH, 12550-4,East Bldg E922,TH,1:00 PM,Shankar Subash,200 mins
MATH, 12550-5,East Bldg E919,W,2:00 PM,Bendersky Martin,200 mins
MATH, 12550-6,North Bldg 1311,T,3:00 PM,Shneerson Lev,200 mins
MATH, 12550-7,East Bldg E920,W,4:00 PM,Shankar Subash,200 mins
MATH, 12550-8,ThomHunter 502,F,4:00 PM,Thompson Robert D,200 mins
MATH, 12550-9,West Bldg W415,TH,4:00 PM,Shneerson Lev,200 mins
MATH, 12550-10,West Bldg W603,TH,2:00 PM,Chess Daniel,200 mins
MATH, 12550-11,West Bldg WB130,M,1:00 PM,Chess Daniel,200 mins
MATH, 12550-12,West Bldg WB130,T,4:00 PM,Shankar Subash,200 mins
MATH, 14000-1,West Bldg W706,WF,11:00 AM,Bendersky Martin,100 mins
MATH, 14000-2,North Bldg 531,TF,11:00 AM,Thompson Robert D,100 mins
MATH, 15000-1,ThomHunter 412,F,8:00 AM,Samra Michael,200 mins
MATH, 15000-2,West Bldg W511,T,8:00 AM,Chess Daniel,200 mins
MATH, 15000-3,East Bldg E921,T,10:00 AM,Samra Michael,200 mins
MATH, 15000-4,West Bldg W206,F,8:00 AM,Shneerson Lev,200 mins
MATH, 15000-5,ThomHunter 412,TH,9:00 AM,Chess Daniel,200 mins
MATH, 15000-6,North Bldg 531,W,9:00 AM,Shneerson Lev,200 mins
MATH, 15000-7,West Bldg W511,TH,10:00 AM,Samra Michael,200 mins
MATH, 15500-1,ThomHunter 407,W,9:00 AM,Chess Daniel,150 mins
MATH, 15500-2,ThomHunter 502,TH,2:00 PM,Samra Michael,150 mins
MATH, 15500-3,West Bldg W205,TH,6:00 PM,Samra Michael,150 mins
MATH, 15600-1,ThomHunter 505,W,7:00 PM,Shneerson Lev,150 mins
MATH, 15600-2,North Bldg 1036,M,7:00 PM,Thompson Robert D,150 mins
MATH, 16000-1,West Bldg W506,F,12:00 PM,Chess Daniel,150 mins
MATH, 16000-2,West Bldg W605,T,8:00 AM,Bendersky Martin,150 mins
MATH, 16000-3,West Bldg W508,M,9:00 AM,Chess Daniel,150 mins
MATH, 25000-1,West Bldg W224,MTH,1:00 PM,Bendersky Martin,75 mins
MATH, 25400-1,West Bldg W505,TF,4:00 PM,Bendersky Martin,100 mins
MATH, 25400-2,West Bldg W205,MF,1:00 PM,Shankar Subash,100 mins
MATH, 25500-1,North Bldg 1036,W,4:00 PM,Thompson Robert D,150 mins
MATH, 26000-1,East Bldg E920,T,12:00 PM,Chess Daniel,200 mins
MATH, 26000-2,North Bldg 118,TH,4:00 PM,Bendersky Martin,200 mins
MATH, 30100-1,West Bldg W505,M,6:00 PM,Chess Daniel,200 mins
MATH, 31100-1,West Bldg W609,F,8:00 PM,Bendersky Martin,150 mins
MATH, 33100-1,North Bldg 118,MW,8:00 PM,Shankar Subash,100 mins
MATH, 35100-1,West Bldg W415,W,8:00 PM,Thompson Robert D,150 mins
MATH, 37200-1,ThomHunter 412,M,8:00 PM,Shneerson Lev,200 mins
MATH, 38500-1,ThomHunter 408,TF,5:00 PM,Samra Michael,100 mins
MATH, 48500-1,West Bldg W224,TTH,8:00 PM,Shankar Subash,100 mins
MATH, 60100-1,ThomHunter 414,MW,9:00 AM,Samra Michael,75 mins
MATH, 62100-1,North Bldg 531,T,1:00 PM,Thompson Robert D,150 mins
MATH, 63000-1,East Bldg E919,T,12:00 PM,Bendersky Martin,150 mins
MATH, 63400-1,West Bldg W208,TH,12:00 PM,Thompson Robert D,150 mins
MATH, 63500-1,West Bldg W415,TTH,8:00 AM,Thompson Robert D,100 mins
MATH, 64100-1,West Bldg W224,TTH,8:00 AM,Shneerson Lev,100 mins
MATH, 68500-1,ThomHunter 412,TH,7:00 PM,Thompson Robert D,200 mins
MATH, 72100-1,West Bldg W116,MTH,5:00 PM,Shankar Subash,75 mins
MATH, 74600-1,North Bldg 1311,W,9:00 AM,Thompson Robert D,200 mins
MATH, 77200-1,West Bldg W215,TH,8:00 AM,Shankar Subash,150 mins
MATH, 78500-1,West Bldg W605,W,11:00 AM,Shankar Subash,200 mins
MATH, 79562-1,West Bldg W204,F,3:00 PM,Chess Daniel,150 mins
