Subject,Course,Section,Room,Instructor,Credits,Classes/week,Instructor preference,Instructor Time preference,Course Time preference,,Course
ANTHP,10500,4,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",1,1,,,Afternoon,,ANTHP 10500
ANTHP,10500,1,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",1,2,,,Evening,,ANTHP 10500
ANTHP,30200,1,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",2,1,,,Afternoon,,ANTHP 30200
ANTHP,30600,1,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",2,2,,,Morning,,ANTHP 30600
ANTHP,40101,1,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",2,1,,,Morning,,ANTHP 40101
ANTHP,40150,1,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",2,1,,,Afternoon,,ANTHP 40150
ANTHP,40177,1,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",2,2,,,Evening,,ANTHP 40177
ARB,15000,1,"West Bldg W413,West Bldg W610,West Bldg W412","Abouelkhair Hager,Brown Deeadra Ann",2,2,,,Evening,,ARB 15000
ARB,25000,1,"West Bldg W413,West Bldg W610,West Bldg W412","Abouelkhair Hager,Brown Deeadra Ann",2,1,,,Morning,,ARB 25000
ARB,40100,1,"West Bldg W413,West Bldg W610,West Bldg W412","Abouelkhair Hager,Brown Deeadra Ann",2,1,,,Morning,,ARB 40100
ARTCR,22100,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,2,,,Morning,,ARTCR 22100
